Primary:NVP_Full_DBC_WO_Chrg_01.dbc
Secondary:["NVP_Full_DBC_WO_Chrg_01.dbc')"]

Nodes
Primary,,('VCU', None), ,('BMS', None), ,('Inverter', None),
Secondary,,('VCU', None), ,('BMS', None), ,('Inverter', None),

Non Similar,,,Similar

Primary,Secondary,,Primary,Secondary
<missing>,<missing>,,BMS_VCU_INV_05',BMS_VCU_INV_05'
<missing>,<missing>,,INV_VCU_07',INV_VCU_07'
<missing>,<missing>,,DIAG_ALL_01',DIAG_ALL_01'
<missing>,<missing>,,INV_VCU_06',INV_VCU_06'
<missing>,<missing>,,BMS_VCU_03',BMS_VCU_03'
<missing>,<missing>,,BMS_VCU_INV_01',BMS_VCU_INV_01'
<missing>,<missing>,,BMS_VCU_INV_02',BMS_VCU_INV_02'
<missing>,<missing>,,DC_VCU_01',DC_VCU_01'
<missing>,<missing>,,DC_VCU_02',DC_VCU_02'
<missing>,<missing>,,DC_VCU_03',DC_VCU_03'
<missing>,<missing>,,INV_VCU_01',INV_VCU_01'
<missing>,<missing>,,INV_VCU_02',INV_VCU_02'
<missing>,<missing>,,INV_VCU_03',INV_VCU_03'
<missing>,<missing>,,INV_VCU_04',INV_VCU_04'
<missing>,<missing>,,INV_VCU_05',INV_VCU_05'
<missing>,<missing>,,VCU_BMS_01',VCU_BMS_01'
<missing>,<missing>,,VCU_DC_01',VCU_DC_01'
<missing>,<missing>,,VCU_INV_01',VCU_INV_01'
<missing>,<missing>,,VCU_INV_02',VCU_INV_02'
<missing>,<missing>,,VCU_INV_03',VCU_INV_03'
<missing>,<missing>,,VCU_INV_04',VCU_INV_04'
<missing>,<missing>,,VCU_INV_05',VCU_INV_05'
<missing>,<missing>,,VCU_INV_06',VCU_INV_06'
<missing>,<missing>,,<missing>,<missing>,
<missing>,<missing>,,<missing>,<missing>,
<missing>,<missing>,,<missing>,<missing>,
<missing>,<missing>,,<missing>,<missing>,
<missing>,<missing>,,<missing>,<missing>,
<missing>,<missing>,,<missing>,<missing>,
<missing>,<missing>,,<missing>,<missing>,
<missing>,<missing>,,<missing>,<missing>,
<missing>,<missing>,,<missing>,<missing>,
<missing>,<missing>,,<missing>,<missing>,
<missing>,<missing>,,<missing>,<missing>,
<missing>,<missing>,,<missing>,<missing>,
<missing>,<missing>,,<missing>,<missing>,
<missing>,<missing>,,<missing>,<missing>,
<missing>,<missing>,,<missing>,<missing>,
<missing>,<missing>,,<missing>,<missing>,
<missing>,<missing>,,<missing>,<missing>,
<missing>,<missing>,,<missing>,<missing>,
<missing>,<missing>,,<missing>,<missing>,
<missing>,<missing>,,<missing>,<missing>,
<missing>,<missing>,,<missing>,<missing>,
<missing>,<missing>,,<missing>,<missing>,
<missing>,<missing>,,<missing>,<missing>,
